symbol,calendar_year,period,time,size,der,dar,roa,roe,sdoa,sdroe,tobinq,ppe,cash,ar,log_sales,sgr,operating_income_ratio,quarter,equity_to_assets,roa_std_bank,bank_zscore,roa_count_bank,mask_bad,bank_zscore_clean,bank_zscore_risk_label,bank_zscore_risk
AGRO,2024,Q3,2024Q3,30.1821292778491,0.323420642715074,0.0871952938268348,0.0010809317060484,0.0040093405476167,0.0001414482945503,0.000550951621711,0.501981538134022,0.0164060491895704,0.102357134704406,0.0050951833004327,25.7643950751972,0.0040254800680773,-0.2663651955,3,0.9128047061731652,0.016420577439909375,55.65490258936091,51,False,55.65490258936091,2.0,1
AGRO,2024,Q2,2024Q2,30.2024282590121,0.196829724154669,0.0514635060748083,0.0008302274510622,0.0031753266079594,3.38071582857e-05,0.0002096841765542,0.367396072345731,0.0284640493199878,0.115184570480001,0.0067517684388278,26.3050304027693,0.0031854414248739,-0.3278324069,2,0.9485364939251917,0.016420577439909375,57.81567212544344,51,False,57.81567212544344,2.0,1
AGRO,2024,Q1,2024Q1,30.1358518045147,0.135950615562463,0.0380607179262273,0.0007484689256684,0.0026734863848662,0.0001377621073836,0.0005527047814192,0.529661678298738,0.030476748975605,0.0864155705907436,0.0,26.2957400307985,0.0026806530743631,0.1085927557,1,0.9619392820737727,0.016420577439909375,58.626912148635995,51,False,58.626912148635995,2.0,1
AGRO,2023,Q4,2023Q4,30.1519898288363,0.158754600093229,0.0436456901957857,0.0007779545311302,0.0028296920022636,0.0001613293898634,0.0006243598711977,0.569789615757795,0.0309702429824853,0.0903478184973791,0.0,26.1789355069408,0.0028377218811754,-0.0700199831,4,0.9563543098042143,0.016420577439909375,58.28858746520591,51,False,58.28858746520591,2.0,1
AGRO,2023,Q3,2023Q3,30.0675641275346,0.0271189057330531,0.0080674068448965,0.0004720919225779,0.0015869555845973,5.15637385587e-05,0.0001223861777537,0.54945399959346,0.0210436724748689,0.100949782672851,0.0048348516202876,25.589815317871,0.0015894780156108,0.1091104868,3,0.9919325931551035,0.016420577439909375,60.43664960683371,51,False,60.43664960683371,2.0,1
AGRO,2023,Q2,2023Q2,30.1166182705966,0.0339867819999071,0.0096616276284598,0.0004083245358823,0.0014363663680607,0.0008907637902839,0.0035650757723065,0.665255531935019,0.0232335641537845,0.126762686685923,0.0050105132713612,25.6639718355404,0.0014384324841036,0.7481135665,2,0.9903383723715402,0.016420577439909375,60.33567945664708,51,False,60.33567945664708,2.0,1
AGRO,2023,Q1,2023Q1,30.1681377889091,0.0337309615317847,0.0090615622086114,0.0003457890765162,0.0012871729807247,0.0011733507721944,0.0054556466503352,0.630987740817478,0.0233741872886499,0.133397538184854,0.0044208218803955,25.75027832963,0.0012888319303622,0.8595162139,1,0.9909384377913886,0.016420577439909375,60.36841460024658,51,False,60.36841460024658,2.0,1
AGRO,2022,Q4,2022Q4,30.2628218273619,0.0326123327029735,0.007952214600431,-0.0015117622885279,-0.006199794296121,0.0015318426797115,0.0085328793977738,0.480221931831084,0.0217191200367124,0.153327771190892,0.0081729915383733,25.901135502023,-0.0061615936827517,0.5319607056,4,0.992047785399569,0.016420577439909375,60.32284959136661,51,False,60.32284959136661,2.0,1
AGRO,2022,Q3,2022Q3,30.1948188583052,0.0069714206851789,0.0012870810611261,0.0013163583732985,0.007130000020894,0.0024061956227649,0.0135491952297703,0.811311131972576,0.0131064751575894,0.101587113068249,0.0070462701511182,25.7509171342143,0.0071812019912416,0.6048075022,3,0.9987129189388739,0.016420577439909375,60.900981160482964,51,False,60.900981160482964,2.0,1
AGRO,2022,Q2,2022Q2,30.3036067043425,0.106790853918052,0.0176964308568589,-0.0022332906635336,-0.0134770123385377,0.0343358296002464,0.234602311533987,0.853621985365321,0.0106960090417063,0.212143990501998,0.0049040549357058,25.9879488936979,-0.0132977977541299,0.302642438,2,0.9823035691431411,0.016420577439909375,59.68549413479192,51,False,59.68549413479192,2.0,1
