"symbol","calendarYear","period","time","Size","DER","DAR","ROA","ROE","SDOA","SDROE","Tobinq","PPE","Cash","AR","Log_Sales","SGR","operatingIncomeRatio","ZSCORE"
"AGRO.JK","2024","Q3","2024Q3","30.1821292778491","0.323420642715074","0.0871952938268348","0.00108093170604843","0.00400934054761675","0.000141448294550305","0.000550951621711086","0.501981538134022","0.0164060491895704","0.102357134704406","0.00509518330043271","25.7643950751972","0.00402548006807732","-0.2663651955","0.086070381487328"
"AGRO.JK","2024","Q2","2024Q2","30.2024282590121","0.196829724154669","0.0514635060748083","0.000830227451062264","0.00317532660795941","0.0000338071582857741","0.000209684176554251","0.367396072345731","0.0284640493199878","0.115184570480001","0.00675176843882783","26.3050304027693","0.00318544142487391","-0.3278324069","-0.0840360621963949"
"AGRO.JK","2024","Q1","2024Q1","30.1358518045147","0.135950615562463","0.0380607179262273","0.000748468925668476","0.00267348638486628","0.000137762107383675","0.000552704781419271","0.529661678298738","0.030476748975605","0.0864155705907436","0","26.2957400307985","0.00268065307436314","0.1085927557","0.0522259969784497"
"AGRO.JK","2023","Q4","2023Q4","30.1519898288363","0.158754600093229","0.0436456901957857","0.000777954531130216","0.00282969200226366","0.000161329389863417","0.000624359871197703","0.569789615757795","0.0309702429824853","0.0903478184973791","0","26.1789355069408","0.00283772188117548","-0.0700199831","0.0811907198574448"
"AGRO.JK","2023","Q3","2023Q3","30.0675641275346","0.0271189057330531","0.00806740684489658","0.000472091922577969","0.00158695558459738","0.000051563738558757","0.00012238617775374","0.54945399959346","0.0210436724748689","0.100949782672851","0.00483485162028761","25.589815317871","0.00158947801561085","0.1091104868","0.346255458550221"
"AGRO.JK","2023","Q2","2023Q2","30.1166182705966","0.0339867819999071","0.00966162762845982","0.000408324535882336","0.00143636636806075","0.000890763790283992","0.00356507577230652","0.665255531935019","0.0232335641537845","0.126762686685923","0.00501051327136123","25.6639718355404","0.00143843248410364","0.7481135665","0.535303527879715"
"AGRO.JK","2023","Q1","2023Q1","30.1681377889091","0.0337309615317847","0.00906156220861148","0.000345789076516264","0.00128717298072478","0.00117335077219447","0.0054556466503352","0.630987740817478","0.0233741872886499","0.133397538184854","0.00442082188039553","25.75027832963","0.00128883193036224","0.8595162139","0.529781116803582"
"AGRO.JK","2022","Q4","2022Q4","30.2628218273619","0.0326123327029735","0.00795221460043105","-0.00151176228852798","-0.00619979429612105","0.00153184267971152","0.00853287939777383","0.480221931831084","0.0217191200367124","0.153327771190892","0.00817299153837339","25.901135502023","-0.00616159368275171","0.5319607056","0.446099704559175"
"AGRO.JK","2022","Q3","2022Q3","30.1948188583052","0.00697142068517895","0.00128708106112618","0.00131635837329855","0.00713000002089408","0.00240619562276498","0.0135491952297703","0.811311131972576","0.0131064751575894","0.101587113068249","0.00704627015111826","25.7509171342143","0.00718120199124168","0.6048075022","0.537752069413009"
"AGRO.JK","2022","Q2","2022Q2","30.3036067043425","0.106790853918052","0.0176964308568589","-0.00223329066353361","-0.0134770123385377","0.0343358296002464","0.234602311533987","0.853621985365321","0.0106960090417063","0.212143990501998","0.00490405493570589","25.9879488936979","-0.0132977977541299","0.302642438","0.768833655487631"
"AGRO.JK","2022","Q1","2022Q1","30.2107292247051","0.104603958390577","0.0195423687784359","0.00361633347867349","0.0193570595774975","0.0407032879213172","0.315507749798549","1.95480657889776","0.0100956096921801","0.0874622594503659","0.00578786578020029","26.0712047172399","0.0197391515092718","1.0577978726","1.39047793051106"
"AGRO.JK","2021","Q4","2021Q4","30.4563518652764","0.105067825488222","0.0153096955004801","-0.0719693882864559","-0.49391362021134","0.0391815334522711","0.30772052985401","2.19790244846827","0.00769631604897044","0.126925983961808","0.00453672351824793","26.3707579879257","-0.330617254926337","-4.7233344126","1.25225295853866"
"AGRO.JK","2021","Q3","2021Q3","30.653131479443","0.103060234760196","0.0126419432506435","-0.0904837952576837","-0.737646182739802","0.0429013220296092","0.349176611748613","2.33859258831785","0.00589968748406561","0.0536784688424548","0.00438378285655926","26.0668274167806","-0.424508849998872","-8.0993708927","1.2839139911824"
"AGRO.JK","2021","Q2","2021Q2","30.8659071736156","0.0766311342969204","0.0130875136861673","0.000328782590379697","0.00192511606421512","0.000216900293772525","0.00122917776245851","1.58009243576843","0.00490641051194559","0.0692019284705098","0.00327441214949528","26.2988088993398","0.00192882928445575","0.7287822416","1.32216630480374"
"AGRO.JK","2021","Q1","2021Q1","30.8462439728663","0.0608033536751118","0.0103639292362152","0.000717277451612232","0.00420814090674827","0.000243379486044442","0.00136049624177947","0.844818204823327","0.00486771151577611","0.0588383954744184","0.0050603791605723","26.1286567994964","0.0042259241912061","1.2187755198","0.784886320304586"
"AGRO.JK","2020","Q4","2020Q4","30.9637787681639","0.0602803106756446","0.00922572752186038","0.000209167590031904","0.00136668758973455","0.0000360146857822499","0.000254368680026487","0.715636143979136","0.00438608270205807","0.0934878106551259","0.00447066725898247","26.1738381346724","0.00136855798094293","1.2017664146","0.738900436684478"
"AGRO.JK","2020","Q3","2020Q3","30.9609049007312","0.0574365659619753","0.00867229417771755","0.000193186670523871","0.00127947446398077","0.000222462954418604","0.00144803523102185","0.0951348630085448","0.0044070031929004","0.151543409254581","0.00508300458034397","25.8140534696357","0.00128111361613807","2.1073802025","0.416361367274205"
